id|first_name|last_name|nickname|dob|nationality|height|weight|role
5295|Mattia|Caldara||1994-05-05|Italy|187|80|defender
5296|Filip|Jagiello||1997-08-08|Poland|180|70|midfielder
5297|Samuele|Oltremarini||2002-11-26|Italy|||striker
5298|Josip|Elez||1994-04-25|Croatia|189|89|defender
5299|José Luis|Trápaga||1998-05-21|Spain|68|176|defender
5300|Sean|Morrison||1991-01-08|England|193|89|defender
5301|Lemouya|Goudiaby||1997-01-09|France|175|70|Difensore Centrale
5302|Ali Adnan Kadhim|Nassir Al-Tameemi|Ali Adnan|1993-12-19|Iraq|185|85|
5303|Samuel|Moutoussamy||1996-08-12|Congo DR|176|72|midfielder
5304|Lars|Bender|Lars Bender|1989-04-27|Germany|185|78|defender
5305|Sami|Khedira||1987-04-04|Germany|189|90|Defensive Midfielder
5306|Lorenzo|Bertini||2001-08-17|Italy|||striker
5307|Alfie|Whiteman||1998-10-02|England|189|84|goalkeeper
5308|Petar|Brlek||1994-01-29|Croatia|180|74|midfielder
5309|Kingsley|Fobi||1998-09-20|Ghana|180||defender
5310|Ailton|Ferreira Silva|Ailton|1995-03-16|Brazil|181|66|defender
5311|Juan Antonio|Iglesias|Juan Iglesias|1998-07-03|Spain|||defender
5312|Jacobo|González||1997-03-25|Spain|176|66|midfielder
5313|Mitchel|Bakker||2000-06-20|Netherlands|185|85|defender
5314|Junior|Messias||1991-05-13|Brazil|174|68|striker
5315|Juan|Brunetta||1997-05-12|Argentina|175|68|
5316|Maduka|Okoye||1999-08-28|Nigeria|197|94|
5317|Lucas Felippe|Martello Nascimento|Lucas|2000-05-03|Brazil|178||
5318|Arton|Zekaj||2000-04-16|Kosovo|187||midfielder
5319|Matteo|Scozzarella||1988-06-05|Italy|170|65|midfielder
5320|Simone|Scuffet||1996-05-31|Italy|193|77|
5321|Massimo|Gobbi||1980-10-31|Italy|183|79|defender
5322|Federico|Zuccon||2003-04-01|Italy|||
5323|Roberto|Rosales||1988-11-20|Venezuela|174|73|
5324|Enrique|Sola Clemente|Kike Sola|1986-02-25|Spain|999||striker
5325|Andreas|Jungdal||2002-02-22|Denmark|191||goalkeeper
5326|Connor|Mahoney||1997-02-12|England|175|67|midfielder
5327|Lebogang|Phiri||1994-11-09|South Africa|173|63|midfielder
5328|Thibault|Giresse||1981-05-25|France|172|69|Centrocampista Centrale
5329|Youssouf|Fofana||1999-01-10|France|178||midfielder
5330|Nathan|Redmond||1994-03-06|England|173|69|midfielder
5331|Lucas|Llort||1999-06-08|France|175||defender
5332|Rico|Henry||1997-07-08|England|170|67|defender
5333|Márcio Rafael|Ferreira de Souza|Rafinha|1985-09-07|Brazil|161|70|
5334|Stef|Peeters||1992-02-09|Belgium|188|75|
5335|Hiroki|Sakai||1990-04-12|Japan|185|78|
5336|Bamba|Dieng|Bamba Dieng|2000-03-23|Senegal|178||
5337|Max|Christiansen||1996-09-25|Germany|185|82|midfielder
5338|Emmanuel|Apeh||1996-10-25|Nigeria|185|75|striker
5339|Sahverdi|Çetin||2000-09-28|Germany|174||Defensive Midfielder
5340|Juan|Pérez|Juan Pérez|1996-07-15|Spain|187|83|goalkeeper
5341|Hamza|Choudhury||1997-10-01|England|178|64|midfielder
5342|Fabián|Ruiz||1996-04-03|Spain|189|70|midfielder
5343|Franco Orlando|Vezzoni||2001-11-12|Italy|||midfielder
5344|Andreas|Luthe||1987-03-10|Germany|197|85|goalkeeper
5345|Mounir|Chouiar||1999-01-23|France|177|75|midfielder
5346|Zouhair|Feddal||1989-12-23|Morocco|191|85|defender
5347|Opa|Nguette||1994-07-08|Senegal|182|76|midfielder
5348|Jacopo|Sala||1991-12-05|Italy|181|75|defender
5349|Patrik|Schick||1996-01-24|Czech Republic|191|85|striker
5350|Martin|Palumbo||2002-03-05|Norway|||
5351|Daniel|Plomer||1998-11-30|Spain|179|72|midfielder
5352|Jake|Cain||2001-09-02|England|||midfielder
5353|Faustino|Anjorin||2001-11-23|England|185|73|midfielder
5354|Edson André|Sitoe|Mexer|1988-09-08|Mozambique|188|79|defender
5355|Rafael|Obrador||2004-02-24|Spain|||defender
5356|William|Vainqueur||1988-11-19|France|179|73|Defensive Midfielder
5357|Nathan|Bitumazala||2002-12-10|France|||Defensive Midfielder
5358|Matias|Fonseca||2001-03-12|Italy|181|71|
5359|John|Lundstram||1994-02-18|England|181|74|midfielder
5360|Ezgjan|Alioski||1992-02-12|North Macedonia|173|63|defender
5361|Musa|Juwara||2001-12-26|Gambia|170|63|midfielder
5362|Carlos|León||2002-12-05|Spain|||
5363|Georg|Margreitter||1988-11-07|Austria|186|87|defender
5364|Pablo|Nascimento Castro|Pablo|1991-06-21|Brazil|188|86|
5365|Matias|Viña||1997-11-09|Uruguay|176|70|defender
5366|Ager|Aketxe||1993-12-30|Spain|174|69|midfielder
5367|Pablo|Zabaleta||1985-01-16|Argentina|176|74|defender
5368|Kévin Manuel|Rodrigues|Kévin Rodrigues|1994-03-05|Portugal|170|70|defender
5369|Marius|Liesegang||2000-01-07|Germany|188|82|goalkeeper
5370|Danny|Blum||1991-01-07|Germany|183|83|midfielder
5371|Roberto|Ibáñez Castro|Rober Ibáñez|1993-03-22|Spain|175|67|midfielder
5372|Alexander|Molberg||1999-05-24|Denmark|185|75|Difensore Centrale
5373|Kamil|Grosicki||1988-06-08|Poland|180|78|
5374|Hendrik|Weydandt||1995-07-16|Germany|195|94|striker
5375|Deiver|Machado||1993-09-02|Colombia|172|70|defender
5376|Iván|López Álvarez|Ivi López|1994-06-29|Spain|174|70|
5377|Hannibal|Mejbri||2003-01-21|Tunisia|177||
5378|Abdoulaye|Touré||1994-03-03|France|188|84|Defensive Midfielder
5379|Denis|Cheryshev||1990-12-26|Russia|179|74|midfielder
5380|Kalvin|Phillips||1995-12-02|England|178|72|Defensive Midfielder
5381|Michele|Bragantini||2001-05-14|Italy|||goalkeeper
5382|Conor|Bradley||2003-07-09|Northern Ireland|||defender
5383|Marvin|Senaya||2001-06-28|France|179|65|defender
5384|Lasse|Sobiech||1991-01-18|Germany|196|88|defender
5385|Konstantinos|Mavropanos||1997-12-11|Greece|194|89|
5386|Sacha|Semaoun||2001-02-07|France|||
5387|Nemanja|Maksimovic||1995-01-26|Serbia|189|78|midfielder
5388|Anton|Kade||2004-01-17|Germany|179|62|midfielder
5389|Luca|Koleosho||2004-09-15|Canada|||
5390|Sebastian|Giovinco||1987-01-26|Italy|165|59|striker
5391|Marvin|Plattenhardt||1992-01-26|Germany|181|76|defender
5392|Renaud|Emond||1991-12-05|Belgium|186|73|
5393|Ajibola|Alese||2001-01-17|England|||
5394|David|Alcibiade||1991-09-26|France|174|72|
5395|Fabian|Kunze||1998-06-14|Germany|190|76|Defensive Midfielder
5396|Christian|Kouamé||1997-12-06|Côte d&#39;Ivoire|188|70|striker
5397|Vincent|Le Goff||1989-10-15|France|177|69|defender
5398|Mauro|Vigorito||1990-05-22|Italy|187|81|goalkeeper
5399|Álvaro|Bastida||2004-05-12|Spain|170||midfielder
5400|Oier|Zarraga||1999-01-04|Spain|175|76|midfielder
5401|Antonio|Russo||2000-02-01|Italy|188||goalkeeper
5402|Iván|López|Ivi|1998-08-08|Spain|||defender
5403|Daniel|Castellano Betancor|Dani Castellano|1987-11-02|Spain|180|70|
5404|Victorien|Angban||1996-09-29|Côte d&#39;Ivoire|180|75|
5405|Ryan|Kent||1996-11-11|England|172|65|midfielder
5406|Cédric|Hountondji||1994-01-19|Benin|195|81|defender
5407|Sergio|Guardiola Navarro|Sergi Guardiola|1991-05-29|Spain|184|78|striker
5408|Simon|Asta||2001-01-25|Germany|178|75|defender
5409|Lluis|Sastre||1986-03-26|Spain|174|71|Defensive Midfielder
5410|Pirmin|Schwegler||1987-03-09|Switzerland|178|74|Defensive Midfielder
5411|Massimiliano|Mignogna||2003-02-18|Italy|||defender
5412|Juan|Aguilera||1985-09-13|Spain|185|76|midfielder
5413|Alexander|Schwolow||1992-06-02|Germany|190|84|goalkeeper
5414|Jozabed|Sánchez|Jozabed|1991-03-08|Spain|180|65|midfielder
5415|Robert|Mazán||1994-02-09|Slovakia|180|75|
5416|Yannick|Gerhardt||1994-03-13|Germany|184|81|midfielder
5417|Andrea|Oliveri||2003-01-14|Italy|||midfielder
5418|James|Tomkins||1989-03-29|England|192|74|defender
5419|Daniel|Pavlovic||1988-04-22|Bosnia and Herzegovina|183|77|defender
5420|Lorenzo|Valeau||1999-03-05|Italy|180|74|midfielder
5421|Maya|Yoshida||1988-08-24|Japan|189|78|defender
5422|Alois|Confais||1996-09-07|France|174|61|Centrocampista Centrale
5423|Moussa|Sissoko||1989-08-16|France|187|83|midfielder
5424|Ahmed Elsayed Ali Elsayed|Hegazy|Ahmed Hegazy|1991-01-25|Egypt|193|83|defender
5425|Mirco|Antenucci||1984-09-08|Italy|178|68|striker
5426|Jamie|Sterry||1995-11-21|England|180|76|defender
5427|Ashley|Fletcher|Ashley Fletcher|1995-10-02|England|185|78|striker
5428|Thomas|Monconduit||1991-02-10|France|184|83|midfielder
5429|Mathys|Tel||2005-04-27|France|||
5430|Ellyes|Skhiri||1995-05-10|Tunisia|185|74|Defensive Midfielder
5431|Marco|Rente||1997-02-25|Germany|184|84|defender
5432|Alessio|Da Cruz||1997-01-18|Netherlands|184|74|
5433|Matthew|Craig|Matthew Craig|2003-04-16|Scotland|||midfielder
5434|Alphonse|Areola||1993-02-27|France|195|94|goalkeeper
5435|Tomás|Franco Tavares|Tomás Tavares|2001-03-07|Portugal|184|69|defender
5436|Romain|Genevois||1987-10-28|Haiti|182|79|defender
5437|Enrico|Brignola||1999-07-08|Italy|180|72|striker
5438|Julian|Kristoffersen||1997-05-10|Norway|198|89|
5439|Cristo|Romero||2000-04-30|Spain|173|62|defender
5440|Patrick|Berg||1997-11-24|Norway|178||
5441|Timo|Hübers||1996-07-20|Germany|190|82|defender
5442|Stéphane|Sessegnon||1984-06-01|Benin|172|72|
5443|Owen|Otasowie||2001-01-06|USA|191|88|
5444|Jean-Luc|Dompé||1995-08-12|France|170|65|
5445|Noah|Weißhaupt||2001-09-20|Germany|181|72|midfielder
5446|Stefan|Lainer||1992-08-27|Austria|175|73|Wing Back
5447|Luca|Matarese||1998-04-16|Italy|177||midfielder
5448|Scott|Dann||1987-02-14|England|188|76|defender
5449|Craig|Dawson||1990-05-06|England|188|82|defender
5450|Michy|Batshuayi||1993-10-02|Belgium|184|76|striker
5451|Gilles|Sunu||1991-03-30|Togo|181|83|midfielder
5452|Pedro|Alcalá||1989-03-19|Spain|196|93|defender
5453|Abdou|Harroui||1998-01-13|Morocco|182|76|midfielder
5454|Arnaud|Kalimuendo-Muinga|Arnaud Kalimuendo|2002-01-20|France|175|63|
5455|Darko|Brasanac||1992-02-12|Serbia|178|73|midfielder
5456|Nicolás|González Iglesias|Nico González|2002-01-03|Spain|188|85|midfielder
5457|Chris|Brunt||1984-12-14|Northern Ireland|185|84|
5458|Lys|Mousset||1996-02-08|France|184|80|striker
5459|Jordan|Pickford||1994-03-07|England|185|77|goalkeeper
5460|Lautaro|de León||2001-02-09|Uruguay|||striker
5461|Florent|Balmont||1980-02-02|France|168|72|midfielder
5462|Riccardo|Cargnelutti||1999-02-08|Italy|||defender
5463|Jefferson|Lerma||1994-10-25|Colombia|179|70|midfielder
5464|Kiril|Despodov||1996-11-11|Bulgaria|178|69|
5465|Sandro|Wagner||1987-11-29|Germany|194|92|striker
5466|Michael|Zetterer||1995-07-12|Germany|187|79|goalkeeper
5467|Ibrahima|Mbaye||1994-11-19|Senegal|187|70|defender
5468|Laurenz|Dehl||2001-12-12|Germany|180|76|midfielder
5469|Amir|Arli||2003-01-05|Turkey|||
5470|Facundo|Píriz||1990-03-27|Uruguay|187|81|midfielder
5471|Franco|Carboni|Franco Carboni|2003-04-04|Argentina|||midfielder
5472|Samuel|Chukwueze||1999-05-22|Nigeria|172|70|midfielder
5473|Iván|Romero||2001-04-10|Spain|172||striker
5474|Håvard|Nordtveit||1990-06-21|Norway|188|83|defender
5475|Paul|Seguin||1995-03-29|Germany|186|79|Defensive Midfielder
5476|Marvelous|Nakamba||1994-01-19|Zimbabwe|178|71|midfielder
5477|Max|Thompson||2002-02-09|England|||
5478|Maxwel|Cornet||1996-09-27|Côte d&#39;Ivoire|179|69|midfielder
5479|Charlie|Taylor||1993-09-18|England|176|70|defender
5480|David|Zima||2000-11-08|Czech Republic|190|78|defender
5481|Dennis|Smarsch||1999-01-14|Germany|195|97|goalkeeper
5482|Juan Carlos|Arana Gómez|Juan Carlos Arana|2000-02-08|Spain|182||
5483|Peter|Etebo||1995-11-09|Nigeria|172|70|midfielder
5484|Tomás|Ostrák||2000-02-05|Czech Republic|176|75|midfielder
5485|Wesley|Moraes Ferreira da Silva|Wesley Moraes|1996-11-26|Brazil|191|93|striker
5486|Marco|Verratti||1992-11-05|Italy|165|60|midfielder
5487|Alfie|Devine||2004-08-01|England|179|75|midfielder
5488|Jarell|Quansah||2003-01-29|England|||defender
5489|Jasper|Cillessen||1989-04-22|Netherlands|185|83|goalkeeper
5490|Antonio|Rukavina||1984-01-26|Serbia|177|74|
5491|Stephan|Lichtsteiner||1984-01-16|Switzerland|182|72|defender
5492|Martin|Erlic||1998-01-24|Croatia|192|78|
5493|Angelo|Ogbonna||1988-05-23|Italy|191|86|defender
5494|Jon Ander|Garrido||1989-10-09|Spain|185|80|midfielder
5495|Simon|Zoller||1991-06-26|Germany|179|70|striker
5496|Patrick Thomas|Leal|Patrick Leal|2003-02-21|Portugal|||
5497|Faitout|Maouassa|Faitout Maouassa|1998-07-06|France|170|74|defender
5498|Habib|Maïga||1996-01-01|Côte d&#39;Ivoire|181|80|Defensive Midfielder
5499|Niklas|Moisander||1985-09-29|Finland|183|75|defender
5500|Mario|Mandzukic||1986-05-21|Croatia|190|85|striker
5501|Nassim|Boujellab||1999-06-20|Morocco|182|77|
5502|Martin|Braithwaite||1991-06-05|Denmark|177|73|striker
5503|Mattia|Destro||1991-03-20|Italy|181|73|striker
5504|William|Fish||2003-02-17|England|185||defender
5505|Bryan|Soumaré|Bryan Soumaré|1999-02-11|France|180|70|midfielder
5506|Matt|Doherty||1992-01-16|Republic of Ireland|182|80|defender
5507|Massimiliano|Mangraviti||1998-01-24|Italy|188|79|
5508|Baptiste|Mouazan||2001-09-27|France|||
5509|Valon|Behrami||1985-04-19|Switzerland|183|80|
5510|Aníbal|Chalá||1996-05-09|Ecuador|178|70|Wing Back
5511|Sylvester|Jasper||2001-09-13|Bulgaria|||midfielder
5512|Marcos|Fernández||2003-07-18|Spain|||
5513|Ricard|Sánchez||2000-02-22|Spain|175||defender
5514|Filippo|Costa||1995-05-21|Italy|175|70|defender
5515|Valery|Fernández||1999-11-23|Spain|182|75|midfielder
5516|Niklas|Tauer||2001-02-17|Germany|182|73|Defensive Midfielder
5517|Christos|Tzolis||2002-01-30|Greece|184||
5518|Curtis|Jones||2001-01-30|England|185|75|midfielder
5519|Alberto|Rodríguez|Tachi|1997-09-10|Spain|184|72|defender
5520|Mesut|Özil||1988-10-15|Germany|180|76|midfielder
5521|João Pedro|Cavaco Cancelo|João Cancelo|1994-05-27|Portugal|182|74|defender
5522|Lukas|Lerager||1993-07-12|Denmark|188|80|midfielder
5523|Wilfred|Ndidi||1996-12-16|Nigeria|183|74|midfielder
5524|Maissa|Ndiaye||2002-01-28|Senegal|||defender
5525|Leonardo|Román Riquelme|Leo Román|2000-07-06|Spain|||goalkeeper
5526|Lisandro|López|Lisandro López|1989-09-01|Argentina|193|80|defender
5527|Devid Eugene|Bouah||2001-08-13|Italy|||defender
5528|Mario|Dominguez||2004-02-10|Spain|||
5529|Anwar|El Ghazi||1995-05-03|Netherlands|188|90|midfielder
5530|Felix|Götze||1998-02-11|Germany|185|80|defender
5531|Isaac|Kiese Thelin||1992-06-24|Sweden|190|83|
5532|Sébastien|Renot||1989-11-11|France|185|80|goalkeeper
5533|Simone|Calvano||1993-07-11|Italy|183|75|
5534|Rodrigo|Sánchez|Rodri|2000-02-16|Spain|||
5535|Antonios|Papadopoulos||1999-09-10|Germany|185|83|
5536|Shaqai|Forde||2004-05-05|England|||
5537|Anssumane|Fati Vieira|Ansu Fati|2002-10-31|Spain|178|66|midfielder
5538|Carlos|Akapo Martínez|Carlos Akapo|1993-03-12|Equatorial Guinea|179|70|defender
5539|Mourad Daoudi|El Ghezouani|Mou|1998-05-27|Spain|189||striker
5540|André Felipe|Grandi|André Grandi|1997-05-02|Brazil|193|84|goalkeeper
5541|Charly|Musonda||1996-10-15|Belgium|173|66|midfielder
5542|Berat|Djimsiti||1993-02-19|Albania|190|83|defender
5543|Djamel|Benlamri||1989-12-25|Algeria|185|83|defender
5544|Giuseppe|D&#39;Agostino||2003-05-11|Italy|||
5545|Federico|Barba||1993-09-01|Italy|185|77|defender
5546|Trey|Vimalin||2001-01-28|France|||goalkeeper
5547|Vahid|Selimovic||1997-04-03|Luxembourg|190|75|
5548|Andrea|Seculin||1990-07-14|Italy|191|83|goalkeeper
5549|Eliot|Matazo||2002-02-15|Belgium|||
5550|Marc|Baró||1999-08-23|Spain|||defender
5551|Riccardo|Castagnaviz||2003-01-29|Italy|||
5552|Abdoulaye|Diallo||1992-03-30|Senegal|191|82|goalkeeper
5553|Warren|Tchimbembé||1998-04-21|France|180|74|midfielder
5554|Carlos|Clerc||1992-02-21|Spain|182|72|defender
5555|Jacopo|Segre||1997-02-17|Italy|185|75|midfielder
5556|Manuel|Gasparini||2002-05-19|Italy|190|74|goalkeeper
5557|Stephane Paul|Keller||2001-08-20|Cameroon|||defender
5558|Umar|Sadiq||1997-02-02|Nigeria|192|75|striker
5559|Julian|Green||1995-06-06|USA|173|70|striker
5560|Ruben|Droehnle||1998-07-11|France|||defender
5561|Enis|Bardhi||1995-07-02|North Macedonia|172|67|midfielder
5562|Álvaro|Bravo||1998-02-04|Spain|181||midfielder
5563|Filip|Krovinovic||1995-08-29|Croatia|175|70|
5564|Stanislav|Lobotka||1994-11-25|Slovakia|170|68|Defensive Midfielder
5565|Andrii|Lunin||1999-02-11|Ukraine|191|80|goalkeeper
5566|Vincent|Pajot||1990-08-19|France|180|68|Defensive Midfielder
5567|Filip|Vaško||1999-08-11|Slovakia|191|78|defender
5568|Gustavo|Cabral||1985-10-14|Argentina|182|80|defender
5569|Davinson|Sánchez||1996-06-12|Colombia|187|81|defender
5570|Gabriel|Haider||2002-06-18|Austria|||defender
5571|Mahamé|Siby||1996-07-07|France|191|84|Defensive Midfielder
5572|Ben|Woodburn||1999-10-15|Wales|174|72|striker
5573|Bafodé|Diakité||2001-01-06|France|185|74|defender
5574|Thomas|Vermaelen||1985-11-14|Belgium|183|80|defender
5575|Mahamadou|Doucouré||2000-05-22|France|||
5576|Roberto|López||2000-04-24|Spain|179|70|
5577|Marco|Spina||2000-01-25|Italy|||midfielder
5578|Marcus|Coco||1996-06-24|France|184|78|midfielder
5579|Dimitris|Giannoulis||1995-10-17|Greece|175|62|defender
5580|Nil|Garrido||2001-03-26|Spain|||midfielder
5581|Lorenzo|Di Stefano||2002-09-19|Italy|182||striker
5582|Mikel|Oyarzabal||1997-04-21|Spain|181|78|striker
5583|Omari|Hutchinson||2003-10-29|England|||midfielder
5584|Jonathan|Gradit||1992-11-24|France|178|75|defender
5585|Giuseppe|Agostino||2002-12-21|Italy|||goalkeeper
5586|Jeison|Murillo||1992-05-27|Colombia|182|78|defender
5587|Felix|Passlack||1998-05-29|Germany|170|74|Wing Back
5588|Pierre|Kalulu||2000-06-05|France|179|69|defender
5589|Luis Alberto|García|Lucho|1998-03-20|Colombia|183|75|goalkeeper
5590|Omar|Colley||1992-10-24|Gambia|192|88|defender
5591|Ryan|Bertrand||1989-08-05|England|179|85|defender
5592|Jesús|Santiago||2004-05-25|Spain|||
5593|Fabrice|Hartmann||2001-03-02|Germany|178|66|midfielder
5594|Michael|McGovern||1984-07-12|Northern Ireland|191|89|goalkeeper
5595|Thomas|McGill||2000-03-25|England|||goalkeeper
5596|Gabriele|Angella||1989-04-28|Italy|193|79|defender
5597|Víctor|Sánchez||1987-09-08|Spain|174|72|midfielder
5598|Marcos Paulo|Mesquita Lopes|Rony Lopes|1995-12-28|Portugal|174|68|midfielder
5599|Gianluca|Lapadula||1990-02-07|Peru|178|69|striker
5600|Sory|Doumbouya||1999-01-31|France|||
5601|Timothy|Chandler||1990-03-29|USA|187|84|midfielder
5602|Luis Federico|López Andúgar|Luis López|2001-05-08|Spain|||
5603|Michael|Gregoritsch||1994-04-18|Austria|193|91|striker
5604|Damir|Ceter|Damir Ceter|1997-11-02|Colombia|188|78|striker
5605|Mohamed|Cisse||2001-04-26|France|||
5606|Anuar|Mohamed||1995-01-15|Morocco|173|69|midfielder
5607|Jules|Koundé||1998-11-12|France|178|70|defender
5608|Andy|Delort||1991-10-09|Algeria|181|83|
5609|Kylian|Kaiboue||1998-08-20|France|182|65|Defensive Midfielder
5610|Racine|Coly||1995-12-08|Senegal|185|70|Wing Back
5611|Juan Luis|Sánchez Velasco|Juanlu Sánchez|2003-08-15|Spain|183|68|midfielder
5612|Edin|Dzeko||1986-03-17|Bosnia and Herzegovina|193|80|striker
5613|Alexandre|Phliponeau||2000-01-26|France|||
5614|Antwoine|Hackford||2004-03-20|England|||
5615|Ben|Nelson||2004-03-18|England|||
5616|Angelo|Stiller||2001-04-04|Germany|183|79|
5617|Rúben Santos|Gato Alves Dias|Rúben Dias|1997-05-14|Portugal|186|76|defender
5618|Warmed|Omari||2000-04-23|France|180|59|
5619|Enrico|Oviszach||2001-03-26|Italy|||midfielder
5620|Pau|López||1994-12-13|Spain|189|77|goalkeeper
5621|Lilian|Fournier||1998-05-18|France|||
5622|Jesús|Owono|Jesús Owono|2001-03-01|Equatorial Guinea|183|67|goalkeeper
5623|Charles|Traoré|Charles Traoré|1992-01-01|Mali|180|74|defender
5624|Duccio|Degli Innocenti||2003-04-28|Italy|||Defensive Midfielder
5625|Dujon|Sterling||1999-10-24|England|186|81|defender
5626|Marc-Aurèle|Caillard||1994-05-12|France|191|87|goalkeeper
5627|Niklas|Süle||1995-09-03|Germany|195|99|defender
5628|Yvann|Maçon||1998-10-01|France|176|74|
5629|Davide|Ghislandi||2001-06-16|Italy|||midfielder
5630|Franck Alain|Djoulou Zohoki|Franck Djoulou|1999-01-01|Côte d&#39;Ivoire|185|72|Punta
5631|Dávid|Ivan||1995-02-26|Slovakia|173|68|midfielder
5632|Daniel|Pacheco|Dani Pacheco|1991-01-05|Spain|168||forward
5633|Stefano|Sturaro||1993-03-09|Italy|181|80|midfielder
5634|Luca|Philipp||2000-11-28|Germany|192|83|goalkeeper
5635|Diego|López||2001-10-21|Spain|||
5636|André|Carrillo||1991-06-14|Peru|182|75|midfielder
5637|Javier|Avilés||1997-08-17|Spain|181|75|midfielder
5638|Yayah|Kallon||2001-06-30|Sierra Leone|||striker
5639|Juan Camilo|Hernández Suárez|Cucho Hernández|1999-04-20|Colombia|176|73|striker
5640|Luis|Suárez||1997-12-02|Colombia|185|74|striker
5641|Iñigo|Pérez|Iñigo Pérez|1988-01-18|Spain|178|74|midfielder
5642|Layton|Ndukwu||1998-09-07|England|177||midfielder
5643|Florentino Ibrain|Morris Luís|Florentino|1999-08-19|Portugal|183|73|Defensive Midfielder
5644|Paolo|Bartolomei||1989-08-22|Italy|183|76|midfielder
5645|Leon|Dajaku||2001-04-12|Germany|180|75|
5646|Steeve|Yago||1992-12-16|Burkina Faso|178|77|
5647|Manuel|Morlanes Ariño|Manu Morlanes|1999-01-12|Spain|178|75|midfielder
5648|José Manuel|Jurado||1986-06-29|Spain|173|72|midfielder
5649|Tjark|Ernst||2003-03-15|Germany|||
5650|Alireza|Jahanbakhsh||1993-08-11|IR Iran|180|76|
5651|Andreas|Poulsen||1999-10-13|Denmark|188|80|Wing Back
5652|Neil|Taylor||1989-02-07|Wales|176|64|defender
5653|Philipp|Pentke||1985-05-01|Germany|191|84|goalkeeper
5654|Tom|Carroll||1992-05-28|England|177|71|midfielder
5655|Sebastian|Griesbeck||1990-10-03|Germany|189|85|Defensive Midfielder
5656|Nunzio|Lella||2000-07-28|Italy|||midfielder
5657|Lucas|Gourna-Douath||2003-08-05|France|185||
5658|Julien|Féret||1982-07-05|France|187|76|Centrocampista Centrale
5659|Divock|Origi||1995-04-18|Belgium|185|75|striker
5660|Saturnin|Allagbé||1993-11-22|Benin|187|71|goalkeeper
5661|Maxime|Bernauer||1998-07-01|France|||
5662|Pablo|Moreno||2002-05-03|Spain|174||
5663|Dennis|Aogo||1987-01-14|Germany|185|83|defender
5664|Mattia|Del Favero||1998-06-05|Italy|190|84|
5665|Leo|Weinkauf||1996-07-07|Germany|196|90|goalkeeper
5666|Ivor|Pandur||2000-03-25|Croatia|185|81|goalkeeper
5667|Liam|Henderson||1996-04-25|Scotland|183|78|midfielder
5668|Antonio|Perera||1997-06-08|Spain|186|78|Defensive Midfielder
5669|Gareth|McAuley||1979-12-05|Northern Ireland|191|90|defender
5670|Joaquín José|Marín Ruiz|Quini|1989-09-24|Spain|178|74|defender
5671|Maximilian|Philipp||1994-03-01|Germany|183|79|striker
5672|Timothy|Fosu-Mensah||1998-01-02|Netherlands|185|80|defender
5673|Alejandro|Pozo||1999-02-22|Spain|174|70|midfielder
5674|Jérémie|Porsan-Clemente||1997-12-16|France|179|69|striker
5675|András|Schäfer||1999-04-13|Hungary|179|73|midfielder
5676|Lorenzo|Insigne||1991-06-04|Italy|163|59|striker
5677|Lassana|Coulibaly|Lassana Coulibaly|1996-04-10|Mali|183|77|midfielder
5678|Georgi|Tunjov||2001-04-17|Estonia|186||
5679|Juan|Flere||1998-05-12|Argentina|182||goalkeeper
5680|Emiliano|Moretti||1981-06-11|Italy|185|80|defender
5681|Pedro León|Sánchez Gil|Pedro León|1986-11-24|Spain|183|70|midfielder
5682|Kwasi|Wriedt||1994-07-10|Ghana|188|82|
5683|Matheus|Dória Macedo|Dória|1994-11-08|Brazil|189|82|
5684|Ederson|Santana de Moraes|Ederson|1993-08-17|Brazil|188|86|goalkeeper
5685|Romain|Saïss||1990-03-26|Morocco|190|80|Defensive Midfielder
5686|Ismaël|Doukouré||2003-07-24|France|182||
5687|Thomas|Delaney||1991-09-03|Denmark|182|79|midfielder
5688|Ulisses|García||1996-01-11|Switzerland|183|78|defender
5689|Johannes|Geis||1993-08-17|Germany|181|81|midfielder
5690|Karamoko|Cissé||1988-11-14|Guinea|184|78|midfielder
5691|Darko|Lazovic||1990-09-15|Serbia|181|66|
5692|Jacopo|Desogus||2002-10-01|Italy|174||
5693|Federico|Palacios||1995-04-09|Germany|170|68|midfielder
5694|Brandon|Borrello||1995-07-25|Australia|177|82|midfielder
5695|Raúl|García|Raúl García|1986-07-11|Spain|184|83|midfielder
5696|Konstantin|Rausch||1990-03-15|Russia|182|78|defender
5697|Matthew|Cash||1997-08-07|Poland|185||defender
5698|Taylor|Richards||2000-12-04|England|180||midfielder
5699|Ben|Wilmot||1999-11-04|England|188|80|defender
5700|Ismail|Jakobs||1999-08-17|Germany|183|75|midfielder
5701|Carles|Aleñá||1998-01-05|Spain|180|73|midfielder
5702|El Bilal|Touré||2001-10-03|Mali|185|75|striker
5703|Matthias|Köbbing||1997-05-28|Germany|196|94|goalkeeper
5704|Callum|Roberts||1997-04-14|England|||
5705|Jack|Butland||1993-03-10|England|196|95|goalkeeper
5706|Nahuel|Tenaglia||1996-02-21|Argentina|180|73|defender
5707|Ferran|Torres|Ferran Torres|2000-02-29|Spain|184|77|midfielder
5708|Papakouly|Diop|Pape Diop|1986-03-19|Senegal|180|77|Defensive Midfielder
5709|Johan|Mojica||1992-08-21|Colombia|185|66|defender
5710|Óscar|Melendo||1997-08-23|Spain|167|63|midfielder
